molecule,full_group,abelian_group,group_order,n_dets,basis,n_params,n_gates,decomp_residual,e_fci_ha,err_exact_mha,err_trotter_natural_mha,err_trotter_reversed_mha,trotter_cost_mha,param_ratio_vs_uccsd,gate_ratio_vs_uccsd,wallclock_s
H2O / STO-3G,C2v,,,441,uccsd,65,140,,-75.02080247643588,0.12032555166285874,,,,1.0,1.0,3.04
H2O / STO-3G,C2v,,,441,abelian_subset,26,48,,-75.02080247643588,0.12032555103758114,,,,0.4,0.34285714285714286,3.04
H2O / STO-3G,C2v,,,441,abelian,26,54,3.3306690738754696e-16,-75.02080247643573,0.1198612482653516,0.11985482714749196,0.11438902339477863,0.005472224870572973,0.4,0.38571428571428573,26.31
H2O / STO-3G,C2v,,,441,full,26,54,3.3306690738754696e-16,-75.02080247643573,0.1198612482653516,0.11985482714749196,0.11438902339477863,0.005472224870572973,0.4,0.38571428571428573,26.31
C2H4 / STO-3G,D2h,D2h,8,,abelian,231,,,,,,,,0.18872549019607843,,12.54
C2H4 / STO-3G,D2h,D2h,8,,full,231,,,,,,,,0.18872549019607843,,12.54
C2H4 / STO-3G,D2h,D2h,8,,uccsd,1224,,,,,,,,1.0,,12.54
NH3 / STO-3G,C3v,,,3136,uccsd,135,315,,-55.51613432931389,0.139207327364943,,,,1.0,1.0,16.22
NH3 / STO-3G,C3v,,,3136,abelian_subset,75,163,,-55.51613432931389,0.13920732740757558,,,,0.5555555555555556,0.5174603174603175,16.22
NH3 / STO-3G,C3v,,,3136,abelian,75,779,6.661338147750939e-16,-55.516134329313914,0.13879415687512164,0.1462920408172863,0.14336220814925582,0.007497883942164663,0.5555555555555556,2.473015873015873,206.99
NH3 / STO-3G,C3v,,,3136,full,30,147,4.440892098500626e-16,-55.516134329313914,0.14061721357450097,0.14759001339825772,0.14145717037195027,0.006972799823756759,0.2222222222222222,0.4666666666666667,206.99
CH4 / STO-3G,Td,,,15876,uccsd,230,560,,-39.80603517670357,0.19417471538929476,,,,1.0,1.0,89.19
CH4 / STO-3G,Td,,,15876,abelian_subset,65,146,,-39.80603517670357,0.1941747154745599,,,,0.2826086956521739,0.26071428571428573,89.19
CH4 / STO-3G,Td,,,15876,abelian,65,182,8.881784197001252e-16,-39.80603517670364,0.19385769788016205,0.19407440775154328,0.19368721004298095,0.00021670987138122655,0.2826086956521739,0.325,220.08
CH4 / STO-3G,Td,,,15876,full,21,146,4.440892098500626e-16,-39.80603517670364,0.19402204193852413,0.19517103471144992,0.19443668578844608,0.0011489927729257943,0.09130434782608696,0.26071428571428573,220.08
