r_nh_angstrom,angle_deg,converged_rhf,n_dets,e_hf_ha,e_fci_ha,e_s1_ha,corr_energy_mha,gap_s0_s1_mha,ansatz,n_params,n_gates,energy_ha,err_vs_fci_mha,delta_vs_uccsd_mha,n_iterations,grad_inf_norm,wallclock_s
0.9,106.7,True,3136,-55.392113564473114,-55.44279366383398,-54.814672865247275,-50.680099360867814,628.120798586707,uccsd,135,375,-55.44269445436044,0.0992094735394744,0.0,56,1.0029936553272376e-06,5.09
0.9,106.7,True,3136,-55.392113564473114,-55.44279366383398,-54.814672865247275,-50.680099360867814,628.120798586707,abelian,75,191,-55.44269445436062,0.09920947336183872,-1.7763568394002505e-10,58,8.332608398553543e-07,7.69
0.9,106.7,True,3136,-55.392113564473114,-55.44279366383398,-54.814672865247275,-50.680099360867814,628.120798586707,full_c3v,30,147,-55.44269444926559,0.09921456839379061,5.0948543162121496e-06,72,9.946414650241484e-07,3.69
0.9,106.7,True,3136,-55.392113564473114,-55.44279366383398,-54.814672865247275,-50.680099360867814,628.120798586707,full_c3v_exact,30,,-55.442694494641046,0.09916919293573301,-4.028060374139386e-05,72,6.157597267630877e-07,21.34
1.0124,106.7,True,3136,-55.454079508318195,-55.519200130400996,-55.03881368137658,-65.12062208280156,480.3864490244152,uccsd,135,375,-55.51902447815214,0.17565224885629505,0.0,66,3.188347878851916e-06,5.9
1.0124,106.7,True,3136,-55.454079508318195,-55.519200130400996,-55.03881368137658,-65.12062208280156,480.3864490244152,abelian,75,191,-55.51902447815229,0.17565224870708107,-1.4921397450962104e-10,69,2.7776610677185855e-06,9.64
1.0124,106.7,True,3136,-55.454079508318195,-55.519200130400996,-55.03881368137658,-65.12062208280156,480.3864490244152,full_c3v,30,165,-55.519022410155316,0.17772024568074585,0.002067996824450802,79,2.695127084483819e-06,2.96
1.0124,106.7,True,3136,-55.454079508318195,-55.519200130400996,-55.03881368137658,-65.12062208280156,480.3864490244152,full_c3v_exact,30,,-55.51902453740035,0.17559300064817762,-5.924820811742393e-05,85,3.0560213540309356e-07,21.28
1.1,106.7,True,3136,-55.44171550249049,-55.520821665264265,-55.13494295368781,-79.10616277377613,385.8787115764528,uccsd,135,375,-55.52053851674119,0.2831485230743169,0.0,71,1.7547143024432277e-06,9.71
1.1,106.7,True,3136,-55.44171550249049,-55.520821665264265,-55.13494295368781,-79.10616277377613,385.8787115764528,abelian,75,191,-55.520538516741205,0.28314852306010607,-1.4210854715202004e-11,71,5.456400379189041e-06,9.59
1.1,106.7,True,3136,-55.44171550249049,-55.520821665264265,-55.13494295368781,-79.10616277377613,385.8787115764528,full_c3v,30,147,-55.52053853639459,0.2831288696754086,-1.9653398908303643e-05,93,9.206245040594254e-07,3.79
1.1,106.7,True,3136,-55.44171550249049,-55.520821665264265,-55.13494295368781,-79.10616277377613,385.8787115764528,full_c3v_exact,30,,-55.52053881105418,0.28285421008433786,-0.00029431298997906197,90,7.62779635787858e-07,21.41
1.25,106.7,True,3136,-55.35545541170595,-55.465807748796145,-55.20536149420805,-110.3523370901982,260.44625458809634,uccsd,135,375,-55.465204462426136,0.6032863700085045,0.0,86,1.6782477109865087e-06,9.58
1.25,106.7,True,3136,-55.35545541170595,-55.465807748796145,-55.20536149420805,-110.3523370901982,260.44625458809634,abelian,75,191,-55.46520446242613,0.6032863700156099,7.105427357601002e-12,87,5.85070422074222e-06,11.69
1.25,106.7,True,3136,-55.35545541170595,-55.465807748796145,-55.20536149420805,-110.3523370901982,260.44625458809634,full_c3v,30,147,-55.46519566157157,0.612087224574509,0.008800854566004546,99,1.7474110767107254e-06,6.35
1.25,106.7,True,3136,-55.35545541170595,-55.465807748796145,-55.20536149420805,-110.3523370901982,260.44625458809634,full_c3v_exact,30,,-55.46520806111998,0.5996876761642511,-0.0035986938442533756,96,1.2577629837987048e-06,22.73
1.4,106.7,True,3136,-55.23121019756924,-55.384390993104546,-55.21257374579466,-153.18079553530595,171.8172473098889,uccsd,135,375,-55.38328613492672,1.104858177825463,0.0,95,4.140678582704917e-06,17.06
1.4,106.7,True,3136,-55.23121019756924,-55.384390993104546,-55.21257374579466,-153.18079553530595,171.8172473098889,abelian,75,191,-55.38328613492743,1.1048581771149202,-7.105427357601002e-10,97,2.070479854010543e-06,10.21
1.4,106.7,True,3136,-55.23121019756924,-55.384390993104546,-55.21257374579466,-153.18079553530595,171.8172473098889,full_c3v,30,147,-55.38320022683216,1.1907662723871226,0.08590809456165971,113,1.6660754596775635e-06,7.02
1.4,106.7,True,3136,-55.23121019756924,-55.384390993104546,-55.21257374579466,-153.18079553530595,171.8172473098889,full_c3v_exact,30,,-55.38327686144088,1.1141316636624765,0.009273485837013595,115,2.1164181467081544e-06,37.43
1.6,106.7,True,3136,-55.05053112483841,-55.28106206026339,-55.187074885099506,-230.53093542498004,93.98717516388189,uccsd,135,375,-55.27898801811732,2.0740421460700986,0.0,120,1.790159390141488e-06,13.53
1.6,106.7,True,3136,-55.05053112483841,-55.28106206026339,-55.187074885099506,-230.53093542498004,93.98717516388189,abelian,75,191,-55.27898801811722,2.0740421461695746,9.947598300641403e-11,116,1.0729334387615808e-06,14.34
1.6,106.7,True,3136,-55.05053112483841,-55.28106206026339,-55.187074885099506,-230.53093542498004,93.98717516388189,full_c3v,30,147,-55.2782538646032,2.808195660186641,0.7341535141165423,124,2.4860807726623246e-06,4.99
1.6,106.7,True,3136,-55.05053112483841,-55.28106206026339,-55.187074885099506,-230.53093542498004,93.98717516388189,full_c3v_exact,30,,-55.2788652425442,2.1968177191880045,0.12277557311790588,133,1.3482023340088967e-06,31.78
1.8,106.7,True,3136,-54.87591336118854,-55.2044709471954,-55.15802477989171,-328.557586006859,46.446167303685115,uccsd,135,375,-55.20032917808548,4.141769109914151,0.0,141,1.0005266559316717e-06,16.23
1.8,106.7,True,3136,-54.87591336118854,-55.2044709471954,-55.15802477989171,-328.557586006859,46.446167303685115,abelian,75,191,-55.20032917808548,4.141769109914151,0.0,140,1.1448132072634787e-06,17.14
1.8,106.7,True,3136,-54.87591336118854,-55.2044709471954,-55.15802477989171,-328.557586006859,46.446167303685115,full_c3v,30,147,-55.19417853344668,10.292413748715035,6.150644638800884,137,1.38808928717754e-06,8.04
1.8,106.7,True,3136,-54.87591336118854,-55.2044709471954,-55.15802477989171,-328.557586006859,46.446167303685115,full_c3v_exact,30,,-55.19648192478488,7.989022410519908,3.8472533006057574,136,1.0671575454423987e-06,37.12
2.0,106.7,True,3136,-54.71927681266305,-55.15877825554062,-55.13852681477558,-439.501442877571,20.251440765036932,uccsd,135,375,-55.14919073033757,9.587525203045288,0.0,152,9.201631182747042e-07,17.3
2.0,106.7,True,3136,-54.71927681266305,-55.15877825554062,-55.13852681477558,-439.501442877571,20.251440765036932,abelian,75,191,-55.14919073033714,9.58752520347872,4.334310688136611e-10,143,2.173393711159006e-06,13.76
2.0,106.7,True,3136,-54.71927681266305,-55.15877825554062,-55.13852681477558,-439.501442877571,20.251440765036932,full_c3v,30,172,-55.136596797099514,22.18145844110353,12.593933238058241,145,8.534622386478438e-07,10.47
2.0,106.7,True,3136,-54.71927681266305,-55.15877825554062,-55.13852681477558,-439.501442877571,20.251440765036932,full_c3v_exact,30,,-55.14225449587289,16.523759667727234,6.936234464681945,162,6.750480221057176e-07,44.95
2.2,106.7,False,3136,,,,,,,,,,,,,,0.48
