molecule,group,test,basis,element,seed,n_params,n_flipped,theta_scale,theta_offmanifold_max,energy_ha,delta_energy_ha,delta_energy_rel,state_residual,grad_max_removed,grad_max_kept
NH3,Cs,T2_energy_invariance,adapted,1,1000,135,60,0.5,0.49711136618867047,-40.40992571052039,2.6716406864579767e-12,6.611347681251582e-14,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1001,135,60,0.5,0.4841169795989557,-40.93106450315765,4.874323167314287e-12,1.1908615684642785e-13,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1002,135,60,0.5,0.48874499698328044,-41.29884668363414,2.7071678232459817e-12,6.555068823069035e-14,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1003,135,60,0.5,0.48384172007441417,-41.07159445986713,1.6129320101754274e-12,3.92712294564433e-14,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1004,135,60,0.5,0.49229135820600023,-40.92971408837336,7.247535904753022e-13,1.7707272249946605e-14,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1005,135,60,0.5,0.49410333751490765,-41.819686428464856,2.0108359422010835e-12,4.8083477279073865e-14,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1006,135,60,0.5,0.4995962207576975,-41.0774218796146,1.6271428648906294e-12,3.9611611207229344e-14,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1007,135,60,0.5,0.48762546760881265,-40.267724570481704,8.526512829121202e-14,2.117455833442243e-15,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1008,135,60,0.5,0.49747362890812985,-38.97873939157306,1.4210854715202004e-14,3.6457963846502165e-16,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1009,135,60,0.5,0.4969165455164697,-40.25639562407885,1.4281908988778014e-12,3.547736643425541e-14,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1010,135,60,0.5,0.492609334772798,-40.43147401446664,2.6645352591003757e-12,6.590250106011441e-14,0.0,,
NH3,Cs,T2_energy_invariance,adapted,1,1011,135,60,0.5,0.4995179178450687,-40.41715755160524,4.526157226791838e-12,1.1198603516372402e-13,0.0,,
