part,molecule,basis,group,topgroup,n_degenerate_shells,shell_sizes,predicted_failure,observed_failure,prediction_correct,e_hf_ha,replicate,blas_threads,n_params,n_params_filtered,err_uccsd_mha,err_sym_mha,phi_eff_deg,overlap_min,n_misaligned,wallclock_s
predictor,HF,sto-3g,Coov,Coov,1,2,False,False,True,-98.57077998601417,,,,,,,,,,0.081
predictor,LiH,sto-3g,Coov,Coov,1,2,False,False,True,-7.8620238601271195,,,,,,,,,,0.057
predictor,H2O,sto-3g,C2v,C2v,0,,False,False,True,-74.96302313846124,,,,,,,,,,0.051
predictor,BeH2,sto-3g,Dooh,Dooh,1,2,False,False,True,-15.559838437190809,,,,,,,,,,0.043
predictor,NH3,sto-3g,Cs,C3v,2,2;2,True,True,True,-55.4295346692594,,,,,,,,,,0.055
predictor,CH4,sto-3g,D2,Td,2,3;3,True,True,True,-39.72670005205661,,,,,,,,,,0.052
predictor,N2,sto-3g,Dooh,Dooh,2,2;2,True,True,True,-107.4959750305905,,,,,,,,,,0.038
predictor,CO,sto-3g,Coov,Coov,2,2;2,True,True,True,-111.22455869560902,,,,,,,,,,0.049
predictor,NaH,sto-3g,Coov,Coov,2,2;2,True,True,True,-160.30221755618402,,,,,,,,,,0.058
predictor,C2H4,sto-3g,D2h,D2h,0,,False,False,True,-77.07208779770463,,,,,,,,,,0.062
predictor,HF,6-31g,Coov,Coov,2,2;2,True,,,-99.98340893328213,,,,,,,,,,0.047
predictor,LiH,6-31g,Coov,Coov,2,2;2,True,,,-7.979268948423173,,,,,,,,,,0.049
predictor,H2O,6-31g,C2v,C2v,0,,False,,,-75.9839744727216,,,,,,,,,,0.057
predictor,BeH2,6-31g,Dooh,Dooh,2,2;2,True,,,-15.759371605803121,,,,,,,,,,0.054
predictor,NH3,6-31g,Cs,C3v,4,2;2;2;2,True,,,-56.1156279593102,,,,,,,,,,0.06
predictor,CH4,6-31g,D2,Td,4,3;3;3;3,True,,,-40.18038475214976,,,,,,,,,,0.06
predictor,N2,6-31g,Dooh,Dooh,4,2;2;2;2,True,,,-108.86774634695112,,,,,,,,,,0.118
predictor,CO,6-31g,Coov,Coov,4,2;2;2;2,True,,,-112.66720455887567,,,,,,,,,,0.065
predictor,NaH,6-31g,Coov,Coov,3,2;2;2,True,,,-162.37093965020355,,,,,,,,,,0.059
predictor,C2H4,6-31g,D2h,D2h,0,,False,,,-78.00357448529633,,,,,,,,,,0.09
replicate,NH3,sto-3g,,,,,,,,,0,1,135,75,0.13908902187154126,29.256819153673064,59.999517493265756,0.5000072930690019,4,29.9
replicate,NH3,sto-3g,,,,,,,,,1,1,135,75,0.13908902186443584,29.25681915366596,59.999517493265756,0.5000072930690019,4,49.82
replicate,NH3,sto-3g,,,,,,,,,2,1,135,75,0.13908902185022498,29.256819153651747,59.999517493265756,0.5000072930690019,4,49.77
replicate,NH3,sto-3g,,,,,,,,,3,1,135,75,0.13908902184311955,29.256819153644642,59.999517493265756,0.5000072930690019,4,29.37
replicate,NH3,sto-3g,,,,,,,,,4,1,135,75,0.1390890220633878,29.25681915386491,59.999517493265756,0.5000072930690019,4,30.01
replicate,NH3,sto-3g,,,,,,,,,5,1,135,75,0.13908902199233353,29.256819153793856,59.999517493265756,0.5000072930690019,4,26.24
replicate,NH3,sto-3g,,,,,,,,,6,1,135,75,0.1390890219354901,29.256819153737013,59.999517493265756,0.5000072930690019,4,25.66
replicate,NH3,sto-3g,,,,,,,,,7,1,135,75,0.13908902199233353,29.256819153793856,59.999517493265756,0.5000072930690019,4,26.3
replicate,NH3,sto-3g,,,,,,,,,8,1,135,75,0.13908902189996297,29.256819153701485,59.999517493265756,0.5000072930690019,4,26.89
replicate,NH3,sto-3g,,,,,,,,,9,1,135,75,0.13908902192127925,29.2568191537228,59.999517493265756,0.5000072930690019,4,25.05
replicate,NH3,sto-3g,,,,,,,,,10,1,135,75,0.13908902192127925,29.2568191537228,59.999517493265756,0.5000072930690019,4,25.6
replicate,NH3,sto-3g,,,,,,,,,11,1,135,75,0.1390890219070684,29.25681915370859,59.999517493265756,0.5000072930690019,4,28.73
replicate,NH3,sto-3g,,,,,,,,,12,1,135,75,0.13908902188575212,29.256819153687275,59.999517493265756,0.5000072930690019,4,28.01
replicate,NH3,sto-3g,,,,,,,,,13,1,135,75,0.13908902184311955,29.256819153644642,59.999517493265756,0.5000072930690019,4,25.63
replicate,NH3,sto-3g,,,,,,,,,14,1,135,75,0.1390890219354901,29.256819153737013,59.999517493265756,0.5000072930690019,4,25.71
replicate,NH3,sto-3g,,,,,,,,,15,1,135,75,0.1390890218573304,29.256819153658853,59.999517493265756,0.5000072930690019,4,25.51
replicate,NH3,sto-3g,,,,,,,,,16,1,135,75,0.13908902194970096,29.256819153751223,59.999517493265756,0.5000072930690019,4,26.26
replicate,NH3,sto-3g,,,,,,,,,17,1,135,75,0.13908902191417383,29.256819153715696,59.999517493265756,0.5000072930690019,4,27.14
replicate,NH3,sto-3g,,,,,,,,,18,1,135,75,0.1390890218786467,29.25681915368017,59.999517493265756,0.5000072930690019,4,27.62
replicate,NH3,sto-3g,,,,,,,,,19,1,135,75,0.13908902199943896,29.25681915380096,59.999517493265756,0.5000072930690019,4,27.03
replicate,NH3,sto-3g,,,,,,,,,0,2,135,75,0.13908902188575212,29.256819150454305,60.000852735514634,0.49998711085183845,4,41.01
replicate,NH3,sto-3g,,,,,,,,,1,2,135,75,0.1390890218289087,29.25681915039746,60.00085273551463,0.4999871108518385,4,43.07
replicate,NH3,sto-3g,,,,,,,,,2,2,135,75,0.13908902199943896,29.25681917420775,59.99955068155768,0.5000067914305006,4,49.64
replicate,NH3,sto-3g,,,,,,,,,3,2,135,75,0.1390890236763198,29.256819152720936,60.00022234660753,0.49999663922844034,4,44.06
replicate,NH3,sto-3g,,,,,,,,,4,2,135,75,0.13908902192127925,29.25681916070033,60.000107401605646,0.49999837662442115,4,34.88
replicate,NH3,sto-3g,,,,,,,,,5,2,135,75,0.1390890237757958,29.256819152820412,60.00022234660752,0.4999966392284404,4,44.83
replicate,NH3,sto-3g,,,,,,,,,6,2,135,75,0.13908902273129797,29.25681915760947,60.000430713189814,0.49999348975829033,4,37.65
replicate,NH3,sto-3g,,,,,,,,,7,2,135,75,0.13908902240444831,29.25681915728262,60.000430713189814,0.4999934897582904,4,40.07
replicate,NH3,sto-3g,,,,,,,,,8,2,135,75,0.13908902327841588,29.256819156636027,59.999513620076264,0.500007351611955,4,37.8
replicate,NH3,sto-3g,,,,,,,,,9,2,135,75,0.1390890236976361,29.256819152742253,60.00022234660752,0.4999966392284404,4,35.91
replicate,NH3,sto-3g,,,,,,,,,0,4,135,75,0.13908902209891494,29.256819152720936,59.99961717599109,0.5000057863717057,4,48.88
replicate,NH3,sto-3g,,,,,,,,,1,4,135,75,0.1390890221131258,29.256819227903463,60.000160152206796,0.4999975792982895,4,41.91
replicate,NH3,sto-3g,,,,,,,,,2,4,135,75,0.1390890221699692,29.256819149722446,59.999131826878205,0.5000131223747364,4,47.23
replicate,NH3,sto-3g,,,,,,,,,3,4,135,75,0.13908902200654438,29.25681915635181,60.000609547113584,0.4999907866703128,4,43.27
replicate,NH3,sto-3g,,,,,,,,,4,4,135,75,0.13908902295156622,29.256819168466563,59.99972876653323,0.5000040996868107,4,32.4
replicate,NH3,sto-3g,,,,,,,,,5,4,135,75,0.13908902246129173,29.256819152692515,59.9996572560531,0.5000051805639953,4,35.67
replicate,NH3,sto-3g,,,,,,,,,6,4,135,75,0.13908902209891494,29.25681915380096,59.999162620531656,0.5000126569328275,4,41.73
replicate,NH3,sto-3g,,,,,,,,,7,4,135,75,0.1390890221912855,29.256819152813307,59.999922724464895,0.500001168018849,4,33.43
replicate,NH3,sto-3g,,,,,,,,,8,4,135,75,0.1390890224541863,29.256819157168934,59.99966151346962,0.5000051162133883,4,39.21
replicate,NH3,sto-3g,,,,,,,,,9,4,135,75,0.13908902246129173,29.256819152941205,60.00008010929081,0.49999878914800505,4,40.28
replicate,NH3,sto-3g,,,,,,,,,0,8,135,75,0.13908902251102973,29.256819153843594,60.00008472984278,0.4999987193083285,4,57.76
replicate,NH3,sto-3g,,,,,,,,,1,8,135,75,0.13908902224102349,29.256819159186875,59.99948459802011,0.5000077902779657,4,60.48
replicate,NH3,sto-3g,,,,,,,,,2,8,135,75,0.13908902189996297,29.256819155676794,60.00040840684263,0.4999938269200352,4,66.31
replicate,NH3,sto-3g,,,,,,,,,3,8,135,75,0.13908902308656934,29.25681923068879,60.00062972123781,0.499990481736628,4,63.56
replicate,NH3,sto-3g,,,,,,,,,4,8,135,75,0.1390890226886654,29.256819171337156,60.00013768542297,0.4999979188841176,4,62.57
replicate,NH3,sto-3g,,,,,,,,,5,8,135,75,0.13908902331394302,29.2568191541136,59.99928235030314,0.5000108472321444,4,73.71
replicate,NH3,sto-3g,,,,,,,,,6,8,135,75,0.13908902186443584,29.25681915179723,59.99963021288728,0.500005589319836,4,72.49
replicate,NH3,sto-3g,,,,,,,,,7,8,135,75,0.13908902219839092,29.25681917223244,59.99957272107751,0.5000064583047463,4,76.9
replicate,NH3,sto-3g,,,,,,,,,8,8,135,75,0.13908902175785443,29.256819162718273,60.00052021876451,0.4999921368755212,4,62.94
replicate,NH3,sto-3g,,,,,,,,,9,8,135,75,0.13908902179338156,29.256819155392577,59.99870380627342,0.50001959183336,4,63.87
replicate,CH4,sto-3g,,,,,,,,,0,1,230,65,0.1938777768728528,49.72156853332166,88.00904915934876,0.03474165485404578,6,178.43
replicate,CH4,sto-3g,,,,,,,,,1,1,230,65,0.19387777688706365,49.72156853333587,88.00904915934876,0.03474165485404578,6,175.01
replicate,CH4,sto-3g,,,,,,,,,2,1,230,65,0.19387777685864194,49.72156853330745,88.00904915934876,0.03474165485404578,6,143.76
replicate,CH4,sto-3g,,,,,,,,,3,1,230,65,0.19387777693680164,49.72156853338561,88.00904915934876,0.03474165485404578,6,145.42
replicate,CH4,sto-3g,,,,,,,,,4,1,230,65,0.19387777689416907,49.721568533342975,88.00904915934876,0.03474165485404578,6,134.9
replicate,CH4,sto-3g,,,,,,,,,5,1,230,65,0.19387777695811792,49.72156853340692,88.00904915934876,0.03474165485404578,6,129.0
replicate,CH4,sto-3g,,,,,,,,,6,1,230,65,0.19387777695811792,49.72156853340692,88.00904915934876,0.03474165485404578,6,128.21
replicate,CH4,sto-3g,,,,,,,,,7,1,230,65,0.19387777694390707,49.72156853339271,88.00904915934876,0.03474165485404578,6,123.68
replicate,CH4,sto-3g,,,,,,,,,8,1,230,65,0.19387777697232877,49.721568533421134,88.00904915934876,0.03474165485404578,6,124.16
replicate,CH4,sto-3g,,,,,,,,,9,1,230,65,0.19387777695811792,49.72156853340692,88.00904915934876,0.03474165485404578,6,117.19
replicate,CH4,sto-3g,,,,,,,,,0,2,230,65,0.1938748156575798,36.48717318690586,79.25893747383928,0.1863707829281841,6,149.24
replicate,CH4,sto-3g,,,,,,,,,1,2,230,65,0.19389721180118613,36.16303100483975,88.3154219171473,0.029397198251999053,6,170.44
replicate,CH4,sto-3g,,,,,,,,,2,2,230,65,0.19382634028630719,39.640771308320666,88.98504289844078,0.01771341674913267,6,121.97
replicate,CH4,sto-3g,,,,,,,,,3,2,230,65,0.19395754430462375,15.921550178752852,86.69254975849991,0.057693842101148245,6,129.89
replicate,CH4,sto-3g,,,,,,,,,4,2,230,65,0.19385097181157107,43.92495081454939,79.26307863545922,0.18629977186518926,6,114.07
replicate,CH4,sto-3g,,,,,,,,,5,2,230,65,0.19383688236729313,33.7112542585416,81.32804616433391,0.15077693645305504,6,147.92
replicate,CH4,sto-3g,,,,,,,,,6,2,230,65,0.19380868340590496,42.024213930744736,60.694161858304554,0.4894713085277253,6,140.9
replicate,CH4,sto-3g,,,,,,,,,7,2,230,65,0.19382707864679105,37.1543907911871,75.40313457266112,0.2520164158388491,6,136.65
replicate,CH4,sto-3g,,,,,,,,,8,2,230,65,0.19382313047344724,46.63697811063372,78.60922808333726,0.19749945491151794,6,162.99
replicate,CH4,sto-3g,,,,,,,,,9,2,230,65,0.19393267956502314,18.508156232670103,82.49654803328956,0.13058592473631447,6,126.38
replicate,CH4,sto-3g,,,,,,,,,0,4,230,65,0.1939204613279344,22.919029476007324,84.31909114568188,0.09898818838683951,6,198.14
replicate,CH4,sto-3g,,,,,,,,,1,4,230,65,0.19384642949660247,43.10631408944943,83.71840876958872,0.10941495209866815,6,183.88
replicate,CH4,sto-3g,,,,,,,,,2,4,230,65,0.1938158254617406,44.82920296868542,67.6262170849517,0.3806472878265407,6,167.48
