basis,molecule,full_group,abelian_group,group_order,abelian_order,n_mo,n_occ,filter,n_singles,n_doubles,n_amplitudes,e_hf,e_corr,delta_e_corr,delta_e_corr_mha,resid_t1,resid_t2,rep_error,oracle_agrees,wallclock_s
sto-3g,H2O,C2v,C2v,4,4,7,5,none,10,55,65,-74.96274643998883,-0.057903425686439296,0.0,0.0,7.325188993696115e-16,4.234736583338692e-17,0.0,True,0.131
sto-3g,H2O,C2v,C2v,4,4,7,5,abelian,4,22,26,-74.96274643998883,-0.05790342568643616,3.1363800445660672e-15,3.1363800445660672e-12,,,0.0,True,0.138
sto-3g,H2O,C2v,C2v,4,4,7,5,full,4,22,26,-74.96274643998883,-0.05790342568643616,3.1363800445660672e-15,3.1363800445660672e-12,,,0.0,True,0.136
sto-3g,NH3,C3v,Cs,6,2,8,5,none,15,120,135,-55.42953466924645,-0.08632062824607653,0.0,0.0,1.070406514439304e-12,7.712223397765526e-14,2.99482660892636e-13,True,0.237
sto-3g,NH3,C3v,Cs,6,2,8,5,abelian,9,66,75,-55.42953466924645,-0.08632062824607394,2.5951463200613034e-15,2.5951463200613034e-12,,,2.99482660892636e-13,True,0.169
sto-3g,NH3,C3v,Cs,6,2,8,5,full,4,26,30,-55.42953466924645,-0.08632062824358269,2.493838469064258e-12,2.493838469064258e-09,,,2.99482660892636e-13,True,0.202
sto-3g,CH4,Td,D2,24,4,9,5,none,20,210,230,-39.72670005205521,-0.07910091824510879,0.0,0.0,9.68306705332959e-16,1.0755285551056204e-16,0.0,True,0.108
sto-3g,CH4,Td,D2,24,4,9,5,abelian,5,60,65,-39.72670005205521,-0.07910091824510865,1.3877787807814457e-16,1.3877787807814457e-13,,,0.0,True,0.114
sto-3g,CH4,Td,D2,24,4,9,5,full,3,18,21,-39.72670005205521,-0.07910091824510863,1.5265566588595902e-16,1.5265566588595902e-13,,,0.0,True,0.156
sto-3g,HF,C2v,Coov,4,4,6,5,none,5,15,20,-98.57077998601426,-0.02584419464745006,0.0,0.0,1.0408340855860843e-17,1.942890293094024e-16,0.0,True,0.081
sto-3g,HF,C2v,Coov,4,4,6,5,abelian,3,8,11,-98.57077998601426,-0.025844194647472334,-2.2273849431542203e-14,-2.2273849431542203e-11,,,0.0,True,0.086
sto-3g,HF,C2v,Coov,4,4,6,5,full,3,8,11,-98.57077998601426,-0.025844194647472334,-2.2273849431542203e-14,-2.2273849431542203e-11,,,0.0,True,0.089
sto-3g,LiH,C2v,Coov,4,4,6,2,none,8,36,44,-7.8620238601271195,-0.020367576170062813,0.0,0.0,6.245004513516506e-17,2.498001805406602e-16,0.0,True,0.079
sto-3g,LiH,C2v,Coov,4,4,6,2,abelian,4,16,20,-7.8620238601271195,-0.0203675761700629,-8.673617379884035e-17,-8.673617379884035e-14,,,0.0,True,0.099
sto-3g,LiH,C2v,Coov,4,4,6,2,full,4,16,20,-7.8620238601271195,-0.0203675761700629,-8.673617379884035e-17,-8.673617379884035e-14,,,0.0,True,0.107
sto-3g,BeH2,D2h,Dooh,8,8,7,3,none,12,78,90,-15.56033493598719,-0.03445406888861377,0.0,0.0,6.2901419198309e-16,5.551115123125783e-17,0.0,True,0.161
sto-3g,BeH2,D2h,Dooh,8,8,7,3,abelian,3,20,23,-15.56033493598719,-0.03445406888861423,-4.579669976578771e-16,-4.579669976578771e-13,,,0.0,True,0.198
sto-3g,BeH2,D2h,Dooh,8,8,7,3,full,3,20,23,-15.56033493598719,-0.03445406888861423,-4.579669976578771e-16,-4.579669976578771e-13,,,0.0,True,0.205
6-31g,H2O,C2v,C2v,4,4,13,5,none,40,820,860,-75.97640820306287,-0.1413447506135524,0.0,0.0,2.4996547957668456e-15,3.788993489701722e-16,0.0,True,0.137
6-31g,H2O,C2v,C2v,4,4,13,5,abelian,16,265,281,-75.97640820306287,-0.14134475061355584,-3.4416913763379853e-15,-3.4416913763379853e-12,,,0.0,True,0.151
6-31g,H2O,C2v,C2v,4,4,13,5,full,16,265,281,-75.97640820306287,-0.14134475061355584,-3.4416913763379853e-15,-3.4416913763379853e-12,,,0.0,True,0.146
6-31g,NH3,C3v,Cs,6,2,15,5,none,50,1275,1325,-56.11562795929537,-0.14253193916218954,0.0,0.0,1.7486376924383167e-12,8.316641780541185e-14,3.985700658404312e-13,True,0.151
6-31g,NH3,C3v,Cs,6,2,15,5,abelian,31,686,717,-56.11562795929537,-0.14253193916217985,9.686695889854491e-15,9.686695889854491e-12,,,3.985700658404312e-13,True,0.174
6-31g,NH3,C3v,Cs,6,2,15,5,full,15,262,277,-56.11562795929537,-0.14253193916218648,3.0531133177191805e-15,3.0531133177191805e-12,,,3.985700658404312e-13,True,0.176
6-31g,CH4,Td,D2,24,4,17,5,none,60,1830,1890,-40.18038475214855,-0.11898500746584798,0.0,0.0,5.041756942492093e-15,4.753142324176451e-16,0.0,True,0.134
