molecule,key,full_group,abelian_group,group_order,n_dets,pool,currency,construction,n_params,n_gates,n_singles,n_doubles,cnots,decomp_residual,param_ratio_vs_uccsd,gate_ratio_vs_uccsd,cnot_ratio_vs_uccsd,cnot_ratio_vs_abelian_subset,published_n_gates,published_cnots,published_check,wallclock_s
NH3 / STO-3G,nh3,C3v,Cs,6,3136,uccsd,distinct,unfiltered,135,315,30,285,3765,,1.0,1.0,1.0,1.9599167100468506,315,3765,exact,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,abelian_subset,distinct,irrep subset of the UCCSD pool,75,163,18,145,1921,,0.5555555555555556,0.5174603174603175,0.5102257636122178,1.0,163,1921,exact,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,abelian_projector,distinct,symmetric projector,75,309,30,279,3687,6.661338147750939e-16,0.5555555555555556,0.9809523809523809,0.9792828685258964,1.9193128578865175,,,,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,full,distinct,symmetric projector,30,117,10,107,1411,4.440892098500626e-16,0.2222222222222222,0.37142857142857144,0.3747675962815405,0.7345132743362832,,,,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,hiuccsd_nonadapted,distinct,"Hamiltonian term set, symmetry=False",93,197,14,183,2407,,0.6888888888888889,0.6253968253968254,0.6393094289508632,1.2529932326913067,197,2407,exact,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,hiuccsd_adapted,distinct,"Hamiltonian term set, symmetry=True",59,117,10,107,1411,,0.43703703703703706,0.37142857142857144,0.3747675962815405,0.7345132743362832,,,,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,uccsd,incidence,unfiltered,135,375,30,345,4545,,1.0,1.0,1.0,1.9890590809628008,,,,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,abelian_subset,incidence,irrep subset of the UCCSD pool,75,191,18,173,2285,,0.5555555555555556,0.5093333333333333,0.5027502750275028,1.0,,,,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,abelian_projector,incidence,symmetric projector,75,779,38,741,9709,6.661338147750939e-16,0.5555555555555556,2.0773333333333333,2.1361936193619364,4.249015317286652,,,,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,full,incidence,symmetric projector,30,147,10,137,1801,4.440892098500626e-16,0.2222222222222222,0.392,0.3962596259625963,0.788183807439825,,,,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,hiuccsd_nonadapted,incidence,"Hamiltonian term set, symmetry=False",93,223,14,209,2745,,0.6888888888888889,0.5946666666666667,0.6039603960396039,1.201312910284464,,,,7.78
NH3 / STO-3G,nh3,C3v,Cs,6,3136,hiuccsd_adapted,incidence,"Hamiltonian term set, symmetry=True",59,131,10,121,1593,,0.43703703703703706,0.34933333333333333,0.3504950495049505,0.6971553610503283,,,,7.78
CH4 / STO-3G,ch4,Td,D2,24,15876,uccsd,distinct,unfiltered,230,560,40,520,6840,,1.0,1.0,1.0,3.825503355704698,560,6840,exact,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,abelian_subset,distinct,irrep subset of the UCCSD pool,65,146,10,136,1788,,0.2826086956521739,0.26071428571428573,0.2614035087719298,1.0,146,1788,exact,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,abelian_projector,distinct,symmetric projector,65,146,10,136,1788,8.881784197001252e-16,0.2826086956521739,0.26071428571428573,0.2614035087719298,1.0,,,,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,full,distinct,symmetric projector,21,128,10,118,1554,4.440892098500626e-16,0.09130434782608696,0.22857142857142856,0.22719298245614036,0.8691275167785235,,,,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,hiuccsd_nonadapted,distinct,"Hamiltonian term set, symmetry=False",188,410,22,388,5088,,0.8173913043478261,0.7321428571428571,0.743859649122807,2.8456375838926173,410,5088,exact,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,hiuccsd_adapted,distinct,"Hamiltonian term set, symmetry=True",65,128,10,118,1554,,0.2826086956521739,0.22857142857142856,0.22719298245614036,0.8691275167785235,,,,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,uccsd,incidence,unfiltered,230,680,40,640,8400,,1.0,1.0,1.0,3.723404255319149,,,,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,abelian_subset,incidence,irrep subset of the UCCSD pool,65,182,10,172,2256,,0.2826086956521739,0.2676470588235294,0.26857142857142857,1.0,,,,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,abelian_projector,incidence,symmetric projector,65,182,10,172,2256,8.881784197001252e-16,0.2826086956521739,0.2676470588235294,0.26857142857142857,1.0,,,,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,full,incidence,symmetric projector,21,146,10,136,1788,4.440892098500626e-16,0.09130434782608696,0.21470588235294116,0.21285714285714286,0.7925531914893617,,,,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,hiuccsd_nonadapted,incidence,"Hamiltonian term set, symmetry=False",188,464,22,442,5790,,0.8173913043478261,0.6823529411764706,0.6892857142857143,2.5664893617021276,,,,28.16
CH4 / STO-3G,ch4,Td,D2,24,15876,hiuccsd_adapted,incidence,"Hamiltonian term set, symmetry=True",65,146,10,136,1788,,0.2826086956521739,0.21470588235294116,0.21285714285714286,0.7925531914893617,,,,28.16
